current,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle,device,num_workers,normalize
Train,1,1,0.5761295462648074,0.7900666666666667,9.17402982711792,12.679071187973022,0.01,1000,True,cuda,1,normal
Train,1,2,0.338246713578701,0.87485,9.1870436668396,22.336514234542847,0.01,1000,True,cuda,1,normal
Train,1,3,0.2932549054423968,0.8914333333333333,8.751546144485474,31.61763572692871,0.01,1000,True,cuda,1,normal
Train,1,4,0.2779459076623122,0.8952666666666667,8.884610414505005,40.909517765045166,0.01,1000,True,cuda,1,normal
Train,1,5,0.262462317943573,0.90185,10.534000873565674,51.826786518096924,0.01,1000,True,cuda,1,normal
Test,1,1,0.3015854448080063,0.8896,2.4278836250305176,54.843708753585815,,1000,True,cuda,1,normal
Train,1,6,0.2515770430366198,0.9059166666666667,9.980170249938965,65.0532820224762,0.01,1000,True,cuda,1,normal
Train,1,7,0.23535687625408172,0.91175,9.814387559890747,75.49790358543396,0.01,1000,True,cuda,1,normal
Train,1,8,0.2259796348710855,0.9157833333333333,9.55717921257019,85.62524127960205,0.01,1000,True,cuda,1,normal
Train,1,9,0.2210864931344986,0.9168,9.263470649719238,95.46818256378174,0.01,1000,True,cuda,1,normal
Train,1,10,0.20829207003116607,0.9212166666666667,9.9863920211792,105.98179340362549,0.01,1000,True,cuda,1,normal
Test,1,2,0.30265394151210784,0.8956,2.283889055252075,108.59663009643555,,1000,True,cuda,1,normal
Train,1,11,0.2056168645620346,0.9221333333333334,9.632983446121216,118.36217498779297,0.01,1000,True,cuda,1,normal
Train,1,12,0.1956896126270294,0.9275666666666667,9.762827157974243,128.71264719963074,0.01,1000,True,cuda,1,normal
Train,1,13,0.18850175937016805,0.9299833333333334,9.53227686882019,138.6703884601593,0.01,1000,True,cuda,1,normal
Train,1,14,0.19213863437374432,0.9262333333333334,9.207419872283936,148.3693573474884,0.01,1000,True,cuda,1,normal
Train,1,15,0.18396789232889812,0.93015,9.10202407836914,157.80265545845032,0.01,1000,True,cuda,1,normal
Test,1,3,0.30325437188148496,0.8965,2.471705913543701,160.6052315235138,,1000,True,cuda,1,normal
Train,1,16,0.1771702542901039,0.93355,9.737753629684448,170.52299737930298,0.01,1000,True,cuda,1,normal
Train,1,17,0.1773031252125899,0.93275,9.332428693771362,180.30215859413147,0.01,1000,True,cuda,1,normal
Train,1,18,0.1675768380363782,0.9357833333333333,9.205623149871826,190.02274584770203,0.01,1000,True,cuda,1,normal
Train,1,19,0.16405462796489398,0.9377,8.917621374130249,199.4867980480194,0.01,1000,True,cuda,1,normal
Train,1,20,0.15361662345627944,0.94125,9.411340475082397,209.36554527282715,0.01,1000,True,cuda,1,normal
Test,1,4,0.33376372158527373,0.8965,2.231670379638672,211.92129635810852,,1000,True,cuda,1,normal
Train,2,1,0.575352034966151,0.7910833333333334,4.971697807312012,6.940023183822632,0.01,1000,True,cuda,1,no_normal
Train,2,2,0.3588346208135287,0.86585,5.024373292922974,12.158465385437012,0.01,1000,True,cuda,1,no_normal
Train,2,3,0.31620617856582006,0.8822333333333333,4.745285987854004,17.101553440093994,0.01,1000,True,cuda,1,no_normal
Train,2,4,0.2891634660462538,0.8917333333333334,4.62421989440918,21.885627508163452,0.01,1000,True,cuda,1,no_normal
Train,2,5,0.2733253426849842,0.8973166666666667,4.687633991241455,26.745773553848267,0.01,1000,True,cuda,1,no_normal
Test,2,1,0.4011863350868225,0.8574,1.5956203937530518,28.643173933029175,,1000,True,cuda,1,normal
Train,2,6,0.2595355456074079,0.9029166666666667,4.68546986579895,33.42471623420715,0.01,1000,True,cuda,1,no_normal
Train,2,7,0.24908770124117532,0.90635,4.621954917907715,38.22787666320801,0.01,1000,True,cuda,1,no_normal
Train,2,8,0.23801000639796258,0.90985,4.701827049255371,43.089619636535645,0.01,1000,True,cuda,1,no_normal
Train,2,9,0.2327490083873272,0.9112166666666667,4.577515125274658,47.86138677597046,0.01,1000,True,cuda,1,no_normal
Train,2,10,0.22405231123169264,0.91495,4.637458324432373,52.68074989318848,0.01,1000,True,cuda,1,no_normal
